,JANE
<eol> <eol> big,2.0
<eol> know </eol>,2.0
<eol> <eol> get,2.0
woman,2.0
<eol> good,2.0
another,2.0
could </eol>,2.0
pleased,2.0
sean slater,2.0
think </eol> </eol>,2.0
fisherman,2.0
ian thing,2.0
clare,2.0
ian got,2.0
hour </eol> </eol>,2.0
freezer,2.0
<eol> thought,2.0
<eol> ian got,2.0
please </eol>,2.0
deal,2.0
shut </eol> </eol>,2.0
<eol> two,2.0
kid </eol> </eol>,2.0
<eol> bit,2.0
scene,2.0
<eol> <eol> could,2.0
cause,2.0
minute,2.0
think </eol>,2.0
fine </eol> </eol>,2.0
week </eol> </eol>,2.0
last </eol>,2.0
ask,2.0
<eol> matter,2.0
steven </eol>,2.0
break,2.0
chippy,2.0
man,2.0
tell,2.0
chance </eol> </eol>,2.0
nice,2.0
ever,2.0
manager,2.0
sign,2.0
<eol> matter </eol>,2.0
<eol> right </eol>,2.0
talking,2.0
<eol> <eol> bad,2.0
sense,2.0
year,2.0
called,2.0
least,2.0
type,2.0
weird,2.0
far,2.0
<eol> lucy </eol>,2.0
angry,2.0
fall,2.0
sorted,2.0
sitting,2.0
well know,2.0
naked,2.0
please,2.0
half,2.0
steven </eol> </eol>,2.0
nowhere,2.0
marie,2.0
trying,2.0
worry,2.0
turn,2.0
money,2.0
matter </eol> </eol>,2.0
<eol> shut,2.0
end,2.0
try,2.0
knew,2.0
room,2.0
first,2.0
chance,2.0
scared,2.0
fine </eol>,2.0
ya,2.0
er,2.0
used,2.0
<eol> <eol> bobby,2.0
fair,2.0
done </eol>,2.0
leave,2.0
<eol> <eol> point,2.0
bobby </eol> </eol>,2.0
start,2.0
<eol> bad,2.0
feel,2.0
big deal,2.0
light,2.0
idea </eol> </eol>,2.0
dress </eol> </eol>,2.0
<eol> <eol> shut,2.0
long,2.0
<eol> point,2.0
bloke,2.0
slater,2.0
back house,2.0
okay,2.0
since,2.0
hair,2.0
<eol> <eol> surprised,2.0
idea </eol>,2.0
rush,2.0
contract,2.0
way </eol> </eol>,2.0
working,2.0
<eol> <eol> go,2.0
load,2.0
would,2.0
trust,2.0
coming,2.0
breakfast,2.0
thinking,2.0
leaving,2.0
key </eol> </eol>,2.0
smell,2.0
captain,2.0
stuff,2.0
matter </eol>,2.0
fun,2.0
ok,2.0
<eol> <eol> matter,2.0
<eol> stop,2.0
sean,2.0
<eol> shut </eol>,2.0
lot </eol> </eol>,2.0
shut,2.0
organised business </eol>,1.0
<eol> <eol> organised,1.0
<eol> organised business,1.0
ian got certain,1.0
<eol> christian load,1.0
yeah hope </eol>,1.0
christian load thing,1.0
know exactly,1.0
<eol> cause end,1.0
said stay </eol>,1.0
load thing greek,1.0
ian said stay,1.0
tomorrow night,1.0
thing greek island,1.0
greek island war,1.0
hi ian said,1.0
stop hi ian,1.0
<eol> stop hi,1.0
<eol> yeah hope,1.0
house better everyone,1.0
along </eol> </eol>,1.0
thinking might,1.0
show everyone used,1.0
everyone used half,1.0
used half naked,1.0
<eol> staying house,1.0
<eol> <eol> staying,1.0
half naked homosexual,1.0
naked homosexual morning,1.0
amount flesh show,1.0
<eol> bye,1.0
standard </eol> </eol>,1.0
certain standard </eol>,1.0
homosexual morning christian,1.0
morning christian </eol>,1.0
got certain standard,1.0
flesh show everyone,1.0
